screen_position,doi,title,year,venue,type,language,url,coder_name,date_screened,E1,E2,note
989,10.3233/faia240827,MCAHNN: Multi-Channel EEG Emotion Recognition Using Attention Mechanism Based on Householder Reflection,2024,Frontiers in artificial intelligence and applications,book-chapter,en,https://doi.org/10.3233/faia240827,,,,,
990,10.1109/icbsii65145.2025.11013139,Single-Modality Emotion Detection: EEG-Based Feature Engineering and Interpretability,2025,,conference-paper,en,https://doi.org/10.1109/icbsii65145.2025.11013139,,,,,
991,10.3389/fnins.2021.690044,Possibilistic Clustering-Promoting Semi-Supervised Learning for EEG-Based Emotion Recognition,2021,Frontiers in Neuroscience,article,en,https://doi.org/10.3389/fnins.2021.690044,,,,,
992,10.1109/icftic68075.2025.11324690,Research on Emotion Recognition Based on Multimodal Fusion and Class Balance Strategy,2025,,conference-paper,,https://doi.org/10.1109/icftic68075.2025.11324690,,,,,
993,10.1049/pbpc034e_ch2,Artificial intelligence for affective computing: an emotion recognition case study,2020,Institution of Engineering and Technology eBooks,book-chapter,en,https://durham-repository.worktribe.com/output/1655159,,,,,
994,10.54254/2755-2721/88/20241638,Label-refined EEG emotion classification based on intelligent media communication,2024,Applied and Computational Engineering,article,en,http://dx.doi.org/10.54254/2755-2721/88/20241638,,,,,
995,10.1080/10255842.2024.2417212,Multi-source domain transfer network based on subdomain adaptation and minimum class confusion for EEG emotion recognition,2024,Computer Methods in Biomechanics & Biomedical Engineering,article,en,https://doi.org/10.1080/10255842.2024.2417212,,,,,
996,10.2139/ssrn.4179880,Minimum Spanning Tree Brain Network Topology Predicts Individual Differences in the Structure of Affective Experience,2022,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.4179880,,,,,
997,10.1016/j.bspc.2023.104894,Design of subject independent 3D VAD emotion detection system using EEG signals and machine learning algorithms,2023,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2023.104894,,,,,
998,10.21203/rs.3.rs-5002729/v1,GANFIS: The Ensemble model for Affective Classification,2024,Research Square,preprint,en,https://doi.org/10.21203/rs.3.rs-5002729/v1,,,,,
999,10.1016/j.inffus.2025.104053,Emotional lateralization-inspired spatiotemporal neural networks for EEG-based emotion recognition,2025,Information Fusion,article,en,https://doi.org/10.1016/j.inffus.2025.104053,,,,,
1000,10.1088/1741-2552/ac63ec,Semi-supervised EEG emotion recognition model based on enhanced graph fusion and GCN,2022,Journal of Neural Engineering,article,en,https://doi.org/10.1088/1741-2552/ac63ec,,,,,
1001,10.1109/ic3.2019.8844893,Temporal measures for analysis of emotional states from human electroencephalography signals,2019,,conference-paper,en,https://doi.org/10.1109/ic3.2019.8844893,,,,,
1002,10.1007/978-3-031-15919-0_4,BiSMSM: A Hybrid MLP-Based Model of Global Self-Attention Processes for EEG-Based Emotion Recognition,2022,Lecture notes in computer science,conference-paper,en,https://doi.org/10.1007/978-3-031-15919-0_4,,,,,
1003,10.1109/aidlnn65358.2024.00043,Multimodal Physiological Signal Emotion Recognition Method Based on Attention Mechanism,2024,,conference-paper,en,https://doi.org/10.1109/aidlnn65358.2024.00043,,,,,
1004,10.1109/embc46164.2021.9629520,EEG-based Emotion Recognition Using Similarity Measure of Brain Rhythm Sequencing,2021,2021 43rd Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),conference-paper,en,https://doi.org/10.1109/embc46164.2021.9629520,,,,,
1005,10.1016/j.ins.2022.07.121,EEG-based cross-subject emotion recognition using Fourier-Bessel series expansion based empirical wavelet transform and NCA feature selection method,2022,Information Sciences,article,en,https://doi.org/10.1016/j.ins.2022.07.121,,,,,
1006,10.3390/brainsci15070707,Multimodal Knowledge Distillation for Emotion Recognition,2025,Brain Sciences,article,en,https://doi.org/10.3390/brainsci15070707,,,,,
1007,10.1007/978-3-031-17976-1_9,KAM - A Kernel Attention Module for Emotion Classification with EEG Data,2022,Lecture notes in computer science,conference-paper,en,https://doi.org/10.1007/978-3-031-17976-1_9,,,,,
1008,10.3389/fnbot.2024.1481746,Directional Spatial and Spectral Attention Network (DSSA Net) for EEG-based emotion recognition,2025,Frontiers in Neurorobotics,article,en,https://doi.org/10.3389/fnbot.2024.1481746,,,,,
1009,10.1109/iraset64571.2025.11008063,Investigation on the effect of feature extraction block on the performance of EEG-based emotion recognition system,2025,,conference-paper,en,https://doi.org/10.1109/iraset64571.2025.11008063,,,,,
1010,10.1142/s0219519424400372,M4EEG: MATCHING NETWORK-BASED MENTAL HEALTH STATUS ASSESSMENT MODEL USING EEG SIGNALS,2024,Journal of Mechanics in Medicine and Biology,article,en,https://doi.org/10.1142/s0219519424400372,,,,,
1011,10.1007/s11801-023-2207-x,Research on EEG emotion recognition based on CNN+BiLSTM+self-attention model,2023,Optoelectronics Letters,article,en,https://doi.org/10.1007/s11801-023-2207-x,,,,,
1012,10.1109/bibm49941.2020.9312984,FOIT: Fast Online Instance Transfer for Improved EEG Emotion Recognition,2020,,conference-paper,en,https://doi.org/10.1109/bibm49941.2020.9312984,,,,,
1013,10.1109/jbhi.2024.3395622,Attention-Based Temporal Graph Representation Learning for EEG-Based Emotion Recognition,2024,IEEE Journal of Biomedical and Health Informatics,article,en,https://opus.bibliothek.uni-augsburg.de/opus4/frontdoor/index/index/docId/116266,,,,,
1014,10.1016/j.bspc.2022.103485,Learning DenseNet features from EEG based spectrograms for subject independent emotion recognition,2022,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2022.103485,,,,,
1015,10.63590/jsetms.2025.v02.i07.pp49-60,Novel Deep Learning Methods for Identifying Human Emotions: A Comprehensive Review,2025,Journal of Science Engineering Technology and Management Sciences,article,en,https://doi.org/10.63590/jsetms.2025.v02.i07.pp49-60,,,,,
1016,10.1002/jnm.70000,EEG Emotion Recognition Based on GADF and AMB ‐ CNN Model,2024,International Journal of Numerical Modelling Electronic Networks Devices and Fields,article,en,https://doi.org/10.1002/jnm.70000,,,,,
1017,10.1109/tii.2022.3170422,EEG-based Emotion Recognition via Transformer Neural Architecture Search,2022,IEEE Transactions on Industrial Informatics,article,en,https://doi.org/10.1109/tii.2022.3170422,,,,,
1018,10.2139/ssrn.5143190,Milmer: A Framework for Multiple Instance Learning Based Multimodal Emotion Recognition,2025,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.5143190,,,,,
1019,10.1109/crc55853.2022.10041230,Affective Brain-Computer Interface using Frontal Entropy Asymmetry for Human- Machine Interaction,2022,,conference-paper,en,https://doi.org/10.1109/crc55853.2022.10041230,,,,,
1020,10.2139/ssrn.5025341,Domain Adaptation-Based Dilated Causal Convolution and Criss-Cross Attention Networks for Eeg Emotion Recognition,2024,SSRN Electronic Journal,preprint,en,http://dx.doi.org/10.2139/ssrn.5025341,,,,,
1021,10.1007/978-981-99-8438-1_18,EEG Features Selection by Using Tasmanian Devil Optimization Algorithm for Stress Detection,2024,Algorithms for intelligent systems,conference-paper,en,https://doi.org/10.1007/978-981-99-8438-1_18,,,,,
1022,10.1109/taffc.2022.3164516,Contrastive Learning of Subject-Invariant EEG Representations for Cross-Subject Emotion Recognition,2022,IEEE Transactions on Affective Computing,article,en,http://arxiv.org/abs/2109.09559,,,,,
1023,10.1007/s11042-023-17018-w,Generating personalized facial emotions using emotional EEG signals and conditional generative adversarial networks,2023,Multimedia Tools and Applications,article,en,https://doi.org/10.1007/s11042-023-17018-w,,,,,
1024,10.1109/embc53108.2024.10782956,EEG Data Augmentation for Emotion Recognition Using Diffusion Model,2024,,conference-paper,en,https://doi.org/10.1109/embc53108.2024.10782956,,,,,
1025,10.1109/ainit61980.2024.10581447,A Bi-LSTM Frequency Band Attention Network for EEG- Based Emotion Recognition,2024,,conference-paper,en,https://doi.org/10.1109/ainit61980.2024.10581447,,,,,
1026,10.1109/bibm62325.2024.10821740,LG-GAT: Local-Global Graph Attention Network for EEG Emotion Recognition,2024,,conference-paper,en,https://doi.org/10.1109/bibm62325.2024.10821740,,,,,
1027,10.3389/fnins.2024.1305284,Brain-inspired modular echo state network for EEG-based emotion recognition,2024,Frontiers in Neuroscience,article,en,https://doi.org/10.3389/fnins.2024.1305284,,,,,
1028,10.1109/bibm66473.2025.11356493,CMGNN: Cross-Modal Emotion Recognition via EEG-Face Alignment and Expert-Guided Fusion,2025,,conference-paper,,https://doi.org/10.1109/bibm66473.2025.11356493,,,,,
1029,10.1109/access.2025.3553809,Entropy-Based Emotion Recognition Using EEG Signals,2025,IEEE Access,article,en,https://doi.org/10.1109/access.2025.3553809,,,,,
1030,10.2139/ssrn.5074001,An Integrated Time-Frequency-Spatial Feature Approach for Eeg Emotion Recognition,2024,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.5074001,,,,,
1031,10.1109/tcds.2021.3074811,Electroencephalogram Emotion Recognition Based on Dispersion Entropy Feature Extraction Using Random Oversampling Imbalanced Data Processing,2021,IEEE Transactions on Cognitive and Developmental Systems,article,en,https://doi.org/10.1109/tcds.2021.3074811,,,,,
1032,10.1109/embc.2015.7320065,Investigation of window size in classification of EEG-emotion signal with wavelet entropy and support vector machine,2015,,conference-paper,en,http://hdl.handle.net/10453/37119,,,,,
1033,10.1109/eiecs59936.2023.10435534,Emotion Recognition Based on Microstates: A Comparison between Scalp and Source Analysis,2023,,conference-paper,en,https://doi.org/10.1109/eiecs59936.2023.10435534,,,,,
1034,10.1371/journal.pone.0253383,Automatic subject-specific spatiotemporal feature selection for subject-independent affective BCI,2021,PLoS ONE,article,en,https://doi.org/10.1371/journal.pone.0253383,,,,,
1035,10.1109/access.2024.3452781,Modality- and Subject-Aware Emotion Recognition Using Knowledge Distillation,2024,IEEE Access,article,en,https://doi.org/10.1109/access.2024.3452781,,,,,
1036,10.1088/1742-6596/3147/1/012025,Learning the Spatiotemporal Representation of EEG Source Microstate for Emotion Recognition,2025,Journal of Physics Conference Series,conference-paper,,https://doi.org/10.1088/1742-6596/3147/1/012025,,,,,
1037,10.1109/ainit61980.2024.10581575,The Dual-3DCRU Model Based on Hemisphere Asymmetry for EEG Emotion Recognition,2024,,conference-paper,en,https://doi.org/10.1109/ainit61980.2024.10581575,,,,,
1038,10.2139/ssrn.4892142,Decoding Emotions: An Integrated Machine Learning Framework for Subject-Independent Eeg-Based Emotion Recognition,2024,SSRN Electronic Journal,preprint,en,http://dx.doi.org/10.2139/ssrn.4892142,,,,,
1039,10.1007/s00371-024-03652-4,EEG emotion recognition approach using multi-scale convolution and feature fusion,2024,The Visual Computer,article,en,https://doi.org/10.1007/s00371-024-03652-4,,,,,
1040,10.3389/fnins.2023.1221512,An innovative EEG-based emotion recognition using a single channel-specific feature from the brain rhythm code method,2023,Frontiers in Neuroscience,article,en,https://doi.org/10.3389/fnins.2023.1221512,,,,,
1041,10.1109/jbhi.2025.3562090,FedKDC: Consensus-Driven Knowledge Distillation for Personalized Federated Learning in EEG-Based Emotion Recognition,2025,IEEE Journal of Biomedical and Health Informatics,article,en,https://doi.org/10.1109/jbhi.2025.3562090,,,,,
1042,10.1007/978-3-031-28324-6_13,An Experimental Investigation on the Emotion Recognition Using Power Spectrum Density and Machine Learning Algorithms in EEG Signals,2023,EAI/Springer Innovations in Communication and Computing,conference-paper,en,https://doi.org/10.1007/978-3-031-28324-6_13,,,,,
1043,10.1109/ccis.2018.8691174,EEG Emotion Classification Based On Baseline Strategy,2018,,conference-paper,en,https://doi.org/10.1109/ccis.2018.8691174,,,,,
1044,10.3390/e27010096,A Resource-Efficient Multi-Entropy Fusion Method and Its Application for EEG-Based Emotion Recognition,2025,Entropy,article,en,https://doi.org/10.3390/e27010096,,,,,
1045,10.1142/s0219519424400086,AN OPTIMIZED RESIDUAL NETWORK FOR EMOTION RECOGNITION BASED ON A MULTI-FEATURES FUSION TECHNOLOGY AND ELECTROENCEPHALOGRAPHY SIGNALS,2024,Journal of Mechanics in Medicine and Biology,article,en,https://doi.org/10.1142/s0219519424400086,,,,,
1046,10.1109/isee68370.2025.11223426,Towards Scalable Eeg-Based Emotion Recognition for Mental Health: A Multi-Task Learning Approach,2025,,conference-paper,,https://doi.org/10.1109/isee68370.2025.11223426,,,,,
1047,10.1145/3777577.3777605,Machine Learning Methods for EEG-Based Emotion Recognition,2025,,conference-paper,,https://doi.org/10.1145/3777577.3777605,,,,,
1048,10.1088/1741-2552/abb580,Data augmentation for enhancing EEG-based emotion recognition with deep generative models,2020,Journal of Neural Engineering,article,en,https://doi.org/10.1088/1741-2552/abb580,,,,,
1049,10.1109/tnnls.2022.3225855,Hierarchical Dynamic Graph Convolutional Network With Interpretability for EEG-Based Emotion Recognition,2022,IEEE Transactions on Neural Networks and Learning Systems,article,en,https://doi.org/10.1109/tnnls.2022.3225855,,,,,
1050,10.1109/ieeeconf65522.2025.11137009,Application of the CNN-BiGRU-Attention Network Optimized by Secretary Bird Optimization Algorithm in EEG-Based Emotion Recognition,2025,,conference-paper,en,https://doi.org/10.1109/ieeeconf65522.2025.11137009,,,,,
1051,10.1109/icici-bme.2017.8537731,Identifying Rules for Electroencephalograph (EEG) Emotion Recognition and Classification,2017,,conference-paper,en,https://doi.org/10.1109/icici-bme.2017.8537731,,,,,
1052,10.1109/cbms55023.2022.00072,TcT: Temporal and channel Transformer for EEG-based Emotion Recognition,2022,,conference-paper,en,https://doi.org/10.1109/cbms55023.2022.00072,,,,,
1053,10.1007/s13042-021-01414-5,EEG-based Emotion Recognition with Feature Fusion Networks,2021,International Journal of Machine Learning and Cybernetics,article,en,https://doi.org/10.1007/s13042-021-01414-5,,,,,
1054,10.1016/j.measurement.2024.115940,Emotion recognition based on a limited number of multimodal physiological signals channels,2024,Measurement,article,en,https://doi.org/10.1016/j.measurement.2024.115940,,,,,
1055,10.25163/primeasia.4140046,Enhancing Emotion Recognition through Deep Learning and Brain-Computer Interface Technology,2023,Journal of Primeasia,article,en,https://doi.org/10.25163/primeasia.4140046,,,,,
1056,10.1109/access.2019.2945059,Emotion Recognition and Dynamic Functional Connectivity Analysis Based on EEG,2019,IEEE Access,article,en,https://doi.org/10.1109/access.2019.2945059,,,,,
1057,10.1007/s42979-022-01155-4,A Comprehensive Review on Sentiment Perception Using Electroencephalography (EEG),2022,SN Computer Science,article,en,https://doi.org/10.1007/s42979-022-01155-4,,,,,
1058,10.2139/ssrn.4760206,Stream: A Spatio Temporal Features Based Recognition and Emotional Analysis Model for Electroencephalography (Eeg) Signals Utilizing Transformer Encoders,2024,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.4760206,,,,,
1059,10.1016/j.patrec.2017.06.004,Reinforcement online learning for emotion prediction by using physiological signals,2017,Pattern Recognition Letters,article,en,https://doi.org/10.1016/j.patrec.2017.06.004,,,,,
1060,10.3390/math10173131,Multi-Channel EEG Emotion Recognition Based on Parallel Transformer and 3D-Convolutional Neural Network,2022,Mathematics,article,en,https://doi.org/10.3390/math10173131,,,,,
1061,10.1016/j.eswa.2017.09.062,Evolutionary computation algorithms for feature selection of EEG-based emotion recognition using mobile sensors,2017,Expert Systems with Applications,article,en,https://doi.org/10.1016/j.eswa.2017.09.062,,,,,
1062,10.1088/1742-6596/3147/1/012032,GTP-Net: A Graph–Transformer Framework for Cross-Subject EEG-Based Emotion Recognition,2025,Journal of Physics Conference Series,conference-paper,,https://doi.org/10.1088/1742-6596/3147/1/012032,,,,,
1063,10.1007/s10489-022-04366-7,EEG emotion recognition based on PLV-rich-club dynamic brain function network,2022,Applied Intelligence,article,en,https://doi.org/10.1007/s10489-022-04366-7,,,,,
1064,10.1088/1742-6596/2923/1/012008,Dynamic Neurological Insights: Real-Time Stress Analysis Utilizing Portable EEG Kits,2024,Journal of Physics Conference Series,conference-paper,en,https://doi.org/10.1088/1742-6596/2923/1/012008,,,,,
1065,10.1109/icon-bciht63907.2024.10882363,Dynamic Emotion Regulation through Reinforcement Learning: A Neurofeedback System with EEG Data and Custom Wearable Interventions,2024,,conference-paper,en,https://doi.org/10.1109/icon-bciht63907.2024.10882363,,,,,
1066,10.2139/ssrn.4573423,Interactive Multi-Agent Convolutional Broad Network for Eeg-Based Subject-Independent Emotion Recognition,2023,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.4573423,,,,,
1067,10.1080/10255842.2023.2252953,Learning classifiers in clustered data: BCI pattern recognition model for EEG-based human emotion recognition,2023,Computer Methods in Biomechanics & Biomedical Engineering,article,en,https://doi.org/10.1080/10255842.2023.2252953,,,,,
1068,10.1016/j.measurement.2022.112379,TMLP+SRDANN: A domain adaptation method for EEG-based emotion recognition,2022,Measurement,article,en,https://doi.org/10.1016/j.measurement.2022.112379,,,,,
1069,10.1109/icsai.2017.8248513,EEG-based emotion recognition using empirical wavelet transform,2017,,conference-paper,en,https://doi.org/10.1109/icsai.2017.8248513,,,,,
1070,10.1016/j.knosys.2023.111011,Cross-subject EEG linear domain adaption based on batch normalization and depthwise convolutional neural network,2023,Knowledge-Based Systems,article,en,https://doi.org/10.1016/j.knosys.2023.111011,,,,,
1071,10.12785/ijcds/150141,"Emotion Detection using Stack Auto Encoder, Deep Learning and LSTM Model",2024,International Journal of Computing and Digital Systems,article,en,https://doi.org/10.12785/ijcds/150141,,,,,
1072,10.1109/bhi.2014.6864469,Compact unsupervised EEG response representation for emotion recognition,2014,IEEE-EMBS International Conference on Biomedical and Health Informatics (BHI ...),conference-paper,en,https://doi.org/10.1109/bhi.2014.6864469,,,,,
1073,10.1109/acait63902.2024.11022291,Hierarchical Dynamic Dependency Graph Convolutional Networks for EEG Emotion Recognition,2024,,conference-paper,en,https://doi.org/10.1109/acait63902.2024.11022291,,,,,
1074,10.1016/j.bspc.2025.108016,Multi-source domain separation adversarial domain adaptation for EEG emotion recognition,2025,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2025.108016,,,,,
1075,10.21203/rs.3.rs-2939343/v2,EEG Signal Based Multi Class Emotion Recognition using Hybrid 1D-CNN and GRU,2023,Research Square,preprint,en,https://doi.org/10.21203/rs.3.rs-2939343/v2,,,,,
1076,10.1016/j.bspc.2025.108248,EEG emotion recognition using multi-dimensional features with attention-based inception capsule network,2025,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2025.108248,,,,,
1077,10.1016/j.jksuci.2023.03.014,Orthogonal semi-supervised regression with adaptive label dragging for cross-session EEG emotion recognition,2023,Journal of King Saud University - Computer and Information Sciences,article,en,https://doi.org/10.1016/j.jksuci.2023.03.014,,,,,
1078,10.1201/9781003269144-15,Healthcare therapy for treating teenagers with internet addiction using behavioral patterns and neuro-feedback analysis,2022,,book-chapter,en,https://doi.org/10.1201/9781003269144-15,,,,,
1079,10.1109/tce.2025.3552801,Brain Region Knowledge-Based Dual-Stream Transformer for EEG Emotion Recognition,2025,IEEE Transactions on Consumer Electronics,article,en,https://doi.org/10.1109/tce.2025.3552801,,,,,
1080,,A Brain Wave Encodes a Thousand Tokens: Modeling Inter-Cortical Neural Interactions for Effective EEG-based Emotion Recognition,2025,arXiv (Cornell University),preprint,,http://arxiv.org/abs/2511.13954,,,,,
1081,10.1007/978-981-16-2709-5_29,Feature Extraction for Classification Methods of EEG Signals,2021,Advances in intelligent systems and computing,book-chapter,en,https://doi.org/10.1007/978-981-16-2709-5_29,,,,,
1082,10.7717/peerj-cs.2649,Improved BCI calibration in multimodal emotion recognition using heterogeneous adversarial transfer learning,2025,PeerJ Computer Science,article,en,https://doi.org/10.7717/peerj-cs.2649,,,,,
1083,10.1007/s11760-022-02447-1,An attention-based hybrid deep learning model for EEG emotion recognition,2022,Signal Image and Video Processing,article,en,https://doi.org/10.1007/s11760-022-02447-1,,,,,
1084,10.1109/tim.2021.3090164,Core-Brain-Network-Based Multilayer Convolutional Neural Network for Emotion Recognition,2021,IEEE Transactions on Instrumentation and Measurement,article,en,https://doi.org/10.1109/tim.2021.3090164,,,,,
1085,10.1109/jsen.2025.3587271,Hierarchical Transformer With Auxiliary Learning for Subject-Independent Respiration Emotion Recognition,2025,IEEE Sensors Journal,article,en,https://doi.org/10.1109/jsen.2025.3587271,,,,,
1086,10.1109/icmlc.2015.7340670,Decision fusion for EEG-based emotion recognition,2015,,conference-paper,en,https://doi.org/10.1109/icmlc.2015.7340670,,,,,
1087,10.1109/aiiip61647.2023.00075,Affective Brain-Computer Interfaces: The Significance of P300 Components in Emotion Detection and Classification,2023,,conference-paper,en,https://doi.org/10.1109/aiiip61647.2023.00075,,,,,
1088,10.1109/tai.2024.3523250,A Hierarchical Cross-Modal Spatial Fusion Network for Multimodal Emotion Recognition,2025,IEEE Transactions on Artificial Intelligence,article,en,https://doi.org/10.1109/tai.2024.3523250,,,,,
1089,10.3390/info16070560,CMHFE-DAN: A Transformer-Based Feature Extractor with Domain Adaptation for EEG-Based Emotion Recognition,2025,Information,article,en,https://doi.org/10.3390/info16070560,,,,,
1090,10.1109/tiptekno59875.2023.10359196,Comparison of EEG- Based Deep Neural Network Classifiers for Emotion Recognition using Selected Electrodes,2023,,conference-paper,en,https://hdl.handle.net/20.500.14002/2446,,,,,
1091,10.33411/ijist/1591,DECS: A Deep Learning Approach for EEG Channel Selection in Emotion Classification,2025,International Journal of Innovations in Science and Technology,article,,https://doi.org/10.33411/ijist/1591,,,,,
1092,10.1109/iccma59762.2023.10374647,EEG Based Emotion Recognition Using Variational Mode Decomposition and Convolutional Neural Network for Affective Computing Interfaces,2023,,conference-paper,en,https://doi.org/10.1109/iccma59762.2023.10374647,,,,,
1093,10.1007/978-3-031-94266-2_15,M3: EEG-Based Emotion Recognition Using SVM with Multiple Kernel Learning and Multitaper Spectral Estimation,2025,Learning and analytics in intelligent systems,conference-paper,en,https://doi.org/10.1007/978-3-031-94266-2_15,,,,,
1094,10.1109/ijcnn.2019.8851990,Micro-states based dynamic brain connectivity in understanding the commonality and differences in gender-specific emotion processing,2019,,conference-paper,en,https://doi.org/10.1109/ijcnn.2019.8851990,,,,,
1095,10.14569/ijacsa.2017.080955,Classification of Human Emotions from Electroencephalogram (EEG) Signal using Deep Neural Network,2017,International Journal of Advanced Computer Science and Applications,article,en,https://doi.org/10.14569/ijacsa.2017.080955,,,,,
1096,10.52783/jisem.v10i55s.11676,Analysis of Deep-Learning-Based Emotion Predictors with Multi-Channel Multi-Label EEG Signals and SHAP XAI,2025,Journal of Information Systems Engineering & Management,article,en,https://doi.org/10.52783/jisem.v10i55s.11676,,,,,
1097,10.1109/ictc66702.2025.11388788,TFSNet: EEG-based Emotion Recognition using Temporal and Frequency-Spatial Feature,2025,,conference-paper,,https://doi.org/10.1109/ictc66702.2025.11388788,,,,,
1098,10.1109/access.2024.3458833,Cross-Subject EEG-Based Emotion Recognition Using Deep Metric Learning and Adversarial Training,2024,IEEE Access,article,en,https://doi.org/10.1109/access.2024.3458833,,,,,
1099,10.2139/ssrn.5639673,"Neural and Emotional Dual Regulation by Music Tempo: An EEG Study of Alpha Waves, Functional Connectivity, and Dimensional Emotion Recognition",2025,SSRN Electronic Journal,preprint,,https://doi.org/10.2139/ssrn.5639673,,,,,
1100,10.3233/jifs-223456,A novel emotion recognition method based on 1D-DenseNet,2023,Journal of Intelligent & Fuzzy Systems,article,en,https://doi.org/10.3233/jifs-223456,,,,,
1101,10.1631/fitee.2300781,VG-DOCoT: a novel DO-Conv and transformer framework via VAE-GAN technique for EEG emotion recognition,2024,Frontiers of Information Technology & Electronic Engineering,article,en,https://doi.org/10.1631/fitee.2300781,,,,,
1102,10.1007/s42979-023-02113-4,Mental Health Monitoring Using Deep Learning Technique for Early-Stage Depression Detection,2023,SN Computer Science,article,en,https://doi.org/10.1007/s42979-023-02113-4,,,,,
